index,ans0,ans1,ans2,model,cat
0,-2.8766668,-3.8152497,-1.2270359,deberta-v3-base-race,Age
1,-3.4424825,1.5993801,-1.2747632,deberta-v3-base-race,Age
2,-0.6962782,-1.7208643,0.16259745,deberta-v3-base-race,Age
3,1.3481086,-3.2193754,0.33329332,deberta-v3-base-race,Age
4,-3.282822,-3.4376543,-2.440264,deberta-v3-base-race,Age
5,-3.8872006,1.4911292,-2.250008,deberta-v3-base-race,Age
6,-0.8800051,-1.3372842,-0.3640251,deberta-v3-base-race,Age
7,0.9250449,-3.040239,-0.6175242,deberta-v3-base-race,Age
8,-2.8299305,-3.80493,-3.9203122,deberta-v3-base-race,Age
9,-3.8579116,-4.0627885,1.9122897,deberta-v3-base-race,Age
10,-0.96723735,-0.55361587,-2.2443862,deberta-v3-base-race,Age
11,1.4050763,-1.6930592,-3.6621037,deberta-v3-base-race,Age
12,-3.7075565,-1.0363866,-3.1371186,deberta-v3-base-race,Age
13,1.4384456,-1.0764362,-3.6203039,deberta-v3-base-race,Age
14,-1.5044024,0.33932602,-1.4056518,deberta-v3-base-race,Age
15,-3.2766366,0.3167059,1.1317596,deberta-v3-base-race,Age
16,-3.0618699,-1.0552672,-3.7429237,deberta-v3-base-race,Age
17,0.7209834,-1.2139567,-4.344786,deberta-v3-base-race,Age
18,-0.8246012,0.45872492,-2.0808508,deberta-v3-base-race,Age
19,-3.7843578,0.35257834,1.2411647,deberta-v3-base-race,Age
20,-3.1110022,-3.4390013,-2.9399471,deberta-v3-base-race,Age
21,0.5410935,-4.264921,-3.3724556,deberta-v3-base-race,Age
22,-1.2106225,-2.472378,0.06205466,deberta-v3-base-race,Age
23,-3.9324653,1.5758475,-0.32819068,deberta-v3-base-race,Age
24,-3.1157126,-3.7094169,-4.008223,deberta-v3-base-race,Age
25,-4.4455495,-3.9941797,1.2514285,deberta-v3-base-race,Age
26,-1.6825979,-1.3944762,-1.3606685,deberta-v3-base-race,Age
27,1.5934633,-3.278499,-4.063878,deberta-v3-base-race,Age
28,-2.4586394,-3.6506565,-3.6802244,deberta-v3-base-race,Age
29,-2.0731232,-4.137358,0.61269456,deberta-v3-base-race,Age
30,-0.32633612,-2.2886858,-1.3062508,deberta-v3-base-race,Age
31,-0.53449225,1.5043203,-4.016559,deberta-v3-base-race,Age
32,-0.71396035,-2.282356,-0.342547,deberta-v3-base-race,Age
33,4.1360073,-1.7819102,-3.0775058,deberta-v3-base-race,Age
34,-1.248775,-0.5257858,-0.6491176,deberta-v3-base-race,Age
35,-3.4914834,0.2820877,2.6671255,deberta-v3-base-race,Age
36,-0.69656956,-0.20763756,-0.38370726,deberta-v3-base-race,Age
37,4.303799,-2.985205,-0.6424557,deberta-v3-base-race,Age
38,-0.8958146,-0.75880563,0.29059026,deberta-v3-base-race,Age
39,-3.7357595,3.1906502,0.92618775,deberta-v3-base-race,Age
40,-4.221,-0.5217146,-1.1238157,deberta-v3-base-race,Age
41,-5.2846804,-3.481315,4.290815,deberta-v3-base-race,Age
42,-0.4585061,-0.70447993,-1.6013017,deberta-v3-base-race,Age
43,-0.11857717,2.8891273,-3.5663483,deberta-v3-base-race,Age
44,-1.1903155,-0.75653726,-0.23922841,deberta-v3-base-race,Age
45,-0.7742574,4.192734,-2.8168945,deberta-v3-base-race,Age
