维度,条件,记忆类型,成功率,成功次数,总次数
搭档风格,helpful,好记忆,100%,5,5
搭档风格,helpful,坏记忆,0%,0,5
搭档风格,misleading,好记忆,100%,5,5
搭档风格,misleading,坏记忆,0%,0,5
搭档风格,silent,好记忆,100%,5,5
搭档风格,silent,坏记忆,0%,0,5
角色分工,calculator,好记忆,100%,5,5
角色分工,calculator,坏记忆,0%,0,5
角色分工,formatter,好记忆,100%,5,5
角色分工,formatter,坏记忆,0%,0,5
角色分工,full,好记忆,100%,5,5
角色分工,full,坏记忆,0%,0,5
团队规模,solo,好记忆,100%,5,5
团队规模,solo,坏记忆,0%,0,5
团队规模,pair_sync,好记忆,100%,5,5
团队规模,pair_sync,坏记忆,0%,0,5
团队规模,pair_async,好记忆,100%,5,5
团队规模,pair_async,坏记忆,0%,0,5
群体经验,expert_only,好记忆,100%,5,5
群体经验,expert_only,坏记忆,0%,0,5
群体经验,beginner_only,好记忆,100%,5,5
群体经验,beginner_only,坏记忆,0%,0,5
群体经验,mixed_chaos,好记忆,100%,5,5
群体经验,mixed_chaos,坏记忆,0%,0,5
